0.000000000000000000e+00 -1.926098495599052853e+02 4.956210000000000093e+01 -2.421719495599052721e+02 7.509409090909091589e-01 3.046545845378166638e-15
2.000000000000000042e-02 -1.172433291499578161e+02 4.891702658907427548e+01 -1.661603557390320987e+02 7.411670695314284130e-01 3.928762266452001000e-15
4.000000000000000083e-02 -1.173491963263092686e+02 4.738923997897991569e+01 -1.647384363052891842e+02 7.180187875603017966e-01 3.101181028300686175e-15
5.999999999999999778e-02 -1.174911068970710915e+02 4.392677906150561284e+01 -1.614178859585767043e+02 6.655572585076607872e-01 5.115767472069980049e-15
8.000000000000000167e-02 -1.174140791154756585e+02 3.758815031827436570e+01 -1.550022294337500171e+02 5.695174290647631032e-01 3.918945744523847784e-15
1.000000000000000056e-01 -1.170266437575921259e+02 3.083654248171013279e+01 -1.478631862393022516e+02 4.672203406319717089e-01 4.993227281834805842e-15
1.199999999999999956e-01 -1.170378956374253505e+02 2.854971646799327090e+01 -1.455876121054186285e+02 4.325714616362617004e-01 5.180115513109575570e-15
1.400000000000000133e-01 -1.172839765459870307e+02 3.111145826709294937e+01 -1.483954348130799872e+02 4.713857313195901622e-01 6.026476293762113095e-15
1.600000000000000033e-01 -1.174442218897768697e+02 3.505129038075376968e+01 -1.524955122705306394e+02 5.310801572841480356e-01 5.564698735586297311e-15
1.799999999999999933e-01 -1.175022885761007103e+02 3.751430627784390026e+01 -1.550165948539446106e+02 5.683985799673317851e-01 7.187193626471943531e-15
2.000000000000000111e-01 -1.174098599141462529e+02 3.769580618597815658e+01 -1.551056661001244095e+02 5.711485785754266686e-01 6.899982507023494583e-15
2.200000000000000011e-01 -1.173617899294503673e+02 3.682062228133500525e+01 -1.541824122107853725e+02 5.578882163838637664e-01 7.131616785230268790e-15
2.399999999999999911e-01 -1.173427556457937442e+02 3.610579444216946854e+01 -1.534485500879632127e+02 5.470574915480223011e-01 6.811605058737755068e-15
2.600000000000000089e-01 -1.173023375615515818e+02 3.615342223643466468e+01 -1.534557597979862464e+02 5.477791247944646669e-01 6.976553170982692270e-15
2.800000000000000266e-01 -1.174569154963967605e+02 3.706510912448180761e+01 -1.545220246208785682e+02 5.615925624921486170e-01 5.727358152394334430e-15
2.999999999999999889e-01 -1.175599710714342478e+02 3.716496640393971518e+01 -1.547249374753739630e+02 5.631055515748442097e-01 7.151249776876829107e-15
3.200000000000000067e-01 -1.175228226596820207e+02 3.552138784028060314e+01 -1.530442104999626167e+02 5.382028460648575763e-01 6.979630533581881396e-15
3.400000000000000244e-01 -1.173749915378393780e+02 3.288495477880352524e+01 -1.502599463166428961e+02 4.982568905879322108e-01 7.507767768675993729e-15
3.599999999999999867e-01 -1.172767517966982069e+02 3.137740267913448022e+01 -1.486541544758326836e+02 4.754151921080981835e-01 6.649357782469420243e-15
3.800000000000000044e-01 -1.174516419392465707e+02 3.187344178938187156e+01 -1.493250837286284423e+02 4.829309362027556229e-01 6.623529526558005668e-15
4.000000000000000222e-01 -1.173598687376928922e+02 3.274640524081191728e+01 -1.501062739785048166e+02 4.961576551638169352e-01 8.317230435335941525e-15
4.199999999999999845e-01 -1.173664155485255804e+02 3.440083117002008350e+01 -1.517672467185456640e+02 5.212247146972739387e-01 6.823131199067168706e-15
4.400000000000000022e-01 -1.174347065716174257e+02 3.641128768167837393e+01 -1.538459942532957996e+02 5.516861769951268979e-01 6.346747984034651588e-15
4.600000000000000200e-01 -1.173826596606363211e+02 3.757585960622817822e+01 -1.549585192668644993e+02 5.693312061549723468e-01 6.870836542723158170e-15
4.799999999999999822e-01 -1.174093698215981760e+02 3.760492598206469239e+01 -1.550142958036628613e+02 5.697716057888589924e-01 6.445989682910451533e-15
5.000000000000000000e-01 -1.173413102332770848e+02 3.605500999270670803e+01 -1.533963202259837999e+02 5.462880301925259197e-01 5.069478195820875268e-15
5.200000000000000178e-01 -1.172665770794209976e+02 3.353398795736002569e+01 -1.508005650367810233e+02 5.080907266266670996e-01 5.431022213568951926e-15
5.400000000000000355e-01 -1.172268670919852980e+02 3.113420299962327675e+01 -1.483610700916085818e+02 4.717303484791405821e-01 5.315464481692874774e-15
5.600000000000000533e-01 -1.172656681368583520e+02 2.937365759357204098e+01 -1.466393257304303859e+02 4.450554180844248364e-01 5.111850690840452705e-15
5.799999999999999600e-01 -1.172543909582302035e+02 2.795268313032239149e+01 -1.452070740885525879e+02 4.235255019745816640e-01 6.218797605266909939e-15
5.999999999999999778e-01 -1.172022421681457729e+02 2.701941235255165452e+01 -1.442216545206974274e+02 4.093850356447220618e-01 6.770767729898748704e-15
6.199999999999999956e-01 -1.172496005066437164e+02 2.694209145494845714e+01 -1.441916919615921699e+02 4.082135068931584398e-01 5.967549612523991014e-15
6.400000000000000133e-01 -1.172504802122693093e+02 2.720882083136310570e+01 -1.444593010436324221e+02 4.122548610812591940e-01 6.186941314630775299e-15
6.600000000000000311e-01 -1.172283802563249253e+02 2.750097456700001430e+01 -1.447293548233249396e+02 4.166814328333335316e-01 6.026859775301170055e-15
6.800000000000000488e-01 -1.172373845863009194e+02 2.784923817674856394e+01 -1.450866227630494905e+02 4.219581541931600732e-01 6.881046075253802564e-15
7.000000000000000666e-01 -1.172425927488850448e+02 2.808371320323244191e+01 -1.453263059521174796e+02 4.255108061095824734e-01 6.819774950484507990e-15
7.199999999999999734e-01 -1.172242589693147181e+02 2.810794828089280628e+01 -1.453322072502075173e+02 4.258780042559516255e-01 7.174534440481052349e-15
